X,playername,timestamp,accel_load_accum,distance_total,leftMaxForce,leftTorque,rightMaxForce,rightTorque,torque_difference,max_force_difference
152,PLAYER_755,9/13/2023,445.921072,3183.645992,NA,NA,NA,NA,NA,NA
153,PLAYER_755,9/15/2023,516.434633,3837.879946,NA,NA,NA,NA,NA,NA
154,PLAYER_755,9/18/2023,485.74115,3448.378981,NA,NA,NA,NA,NA,NA
155,PLAYER_755,9/19/2023,491.514427,3269.413877,NA,NA,NA,NA,NA,NA
156,PLAYER_755,9/20/2023,414.092048,3361.480685,NA,NA,NA,NA,NA,NA
157,PLAYER_755,9/21/2023,385.508416,2998.800061,NA,NA,NA,NA,NA,NA
158,PLAYER_755,9/25/2023,692.640091,4916.638403,NA,NA,NA,NA,NA,NA
159,PLAYER_755,9/26/2023,961.072105,6977.544051,NA,NA,NA,NA,NA,NA
160,PLAYER_755,9/28/2023,800.675565,5994.579083,NA,NA,NA,NA,NA,NA
161,PLAYER_755,9/29/2023,765.366024,5665.917935,NA,NA,NA,NA,NA,NA
162,PLAYER_755,9/30/2023,0.627932,0.307604,NA,NA,NA,NA,NA,NA
163,PLAYER_755,9/30/2023,731.877342,5410.794991,NA,NA,NA,NA,NA,NA
164,PLAYER_755,10/2/2023,760.9587,5512.60522,NA,NA,NA,NA,NA,NA
165,PLAYER_755,10/3/2023,1021.168003,7475.132959,NA,NA,NA,NA,NA,NA
166,PLAYER_755,10/5/2023,855.12074,6293.445162,NA,NA,NA,NA,NA,NA
167,PLAYER_755,10/6/2023,767.039729,5812.32159,NA,NA,NA,NA,NA,NA
168,PLAYER_755,10/9/2023,502.314911,3786.643473,NA,NA,NA,NA,NA,NA
169,PLAYER_755,10/10/2023,792.106575,6096.185338,NA,NA,NA,NA,NA,NA
170,PLAYER_755,10/12/2023,790.27666,5750.095136,NA,NA,NA,NA,NA,NA
171,PLAYER_755,10/13/2023,702.476308,5282.039068,NA,NA,NA,NA,NA,NA
172,PLAYER_755,10/15/2023,796.236665,5998.948147,NA,NA,NA,NA,NA,NA
173,PLAYER_755,10/16/2023,945.277877,7098.039472,NA,NA,NA,NA,NA,NA
174,PLAYER_755,10/18/2023,204.473996,1277.524421,NA,NA,NA,NA,NA,NA
175,PLAYER_755,10/18/2023,698.085508,4955.72646,NA,NA,NA,NA,NA,NA
176,PLAYER_755,10/19/2023,835.389822,5907.221307,NA,NA,NA,NA,NA,NA
177,PLAYER_755,10/20/2023,777.254581,5577.117604,NA,NA,NA,NA,NA,NA
178,PLAYER_755,10/23/2023,567.156408,4613.220772,NA,NA,NA,NA,NA,NA
179,PLAYER_755,10/24/2023,863.319934,6318.327924,NA,NA,NA,NA,NA,NA
180,PLAYER_755,10/26/2023,768.914628,5603.990995,NA,NA,NA,NA,NA,NA
181,PLAYER_755,10/27/2023,860.821769,6282.004525,NA,NA,NA,NA,NA,NA
182,PLAYER_755,10/28/2023,793.042665,5029.815279,NA,NA,NA,NA,NA,NA
183,PLAYER_755,10/28/2023,31.198531,276.972392,NA,NA,NA,NA,NA,NA
184,PLAYER_755,10/28/2023,507.965158,3345.51595,NA,NA,NA,NA,NA,NA
185,PLAYER_755,10/31/2023,850.029758,6247.133681,NA,NA,NA,NA,NA,NA
186,PLAYER_755,11/1/2023,753.457519,5365.424285,NA,NA,NA,NA,NA,NA
187,PLAYER_755,11/2/2023,869.985832,6704.563387,NA,NA,NA,NA,NA,NA
188,PLAYER_755,11/4/2023,652.946013,4885.256886,NA,NA,NA,NA,NA,NA
189,PLAYER_755,11/5/2023,567.079891,4342.826246,NA,NA,NA,NA,NA,NA
190,PLAYER_755,11/6/2023,421.198352,3512.535616,NA,NA,NA,NA,NA,NA
191,PLAYER_755,11/9/2023,510.061686,4203.868986,NA,NA,NA,NA,NA,NA
192,PLAYER_755,11/11/2023,469.569865,3661.719347,NA,NA,NA,NA,NA,NA
193,PLAYER_755,11/12/2023,750.232611,5625.258761,NA,NA,NA,NA,NA,NA
194,PLAYER_755,11/12/2023,769.61413,5662.726585,NA,NA,NA,NA,NA,NA
195,PLAYER_755,11/13/2023,6.686259,0.053532,NA,NA,NA,NA,NA,NA
196,PLAYER_755,11/17/2023,573.673019,4201.794984,NA,NA,NA,NA,NA,NA
197,PLAYER_755,11/18/2023,347.510967,2528.711129,NA,NA,NA,NA,NA,NA
198,PLAYER_755,11/19/2023,455.643506,3233.114423,NA,NA,NA,NA,NA,NA
199,PLAYER_755,11/22/2023,460.076505,3430.460931,NA,NA,NA,NA,NA,NA
200,PLAYER_755,11/24/2023,891.68899,6992.829554,NA,NA,NA,NA,NA,NA
201,PLAYER_755,11/25/2023,843.72525,6561.189096,NA,NA,NA,NA,NA,NA
202,PLAYER_755,11/27/2023,1006.946254,7407.121167,NA,NA,NA,NA,NA,NA
203,PLAYER_755,11/28/2023,610.240858,4429.809381,NA,NA,NA,NA,NA,NA
204,PLAYER_755,11/29/2023,765.113351,5206.921635,NA,NA,NA,NA,NA,NA
205,PLAYER_755,11/30/2023,468.142364,3386.867135,NA,NA,NA,NA,NA,NA
206,PLAYER_755,12/1/2023,678.788444,4884.984241,NA,NA,NA,NA,NA,NA
207,PLAYER_755,12/2/2023,695.088865,4583.841784,NA,NA,NA,NA,NA,NA
208,PLAYER_755,12/4/2023,607.981847,4251.779739,NA,NA,NA,NA,NA,NA
209,PLAYER_755,12/5/2023,819.941724,6160.055369,NA,NA,NA,NA,NA,NA
210,PLAYER_755,12/6/2023,128.323838,803.094033,NA,NA,NA,NA,NA,NA
211,PLAYER_755,12/6/2023,728.582462,4977.571816,NA,NA,NA,NA,NA,NA
212,PLAYER_755,12/7/2023,520.06432,3850.873984,NA,NA,NA,NA,NA,NA
213,PLAYER_755,12/9/2023,891.622203,6099.842733,NA,NA,NA,NA,NA,NA
214,PLAYER_755,12/11/2023,1038.100205,7570.375302,NA,NA,NA,NA,NA,NA
215,PLAYER_755,12/12/2023,891.581254,6319.747929,NA,NA,NA,NA,NA,NA
216,PLAYER_755,12/13/2023,761.617425,5305.331279,NA,NA,NA,NA,NA,NA
217,PLAYER_755,12/15/2023,843.795138,6249.263815,NA,NA,NA,NA,NA,NA
218,PLAYER_755,12/16/2023,953.413564,6378.789591,NA,NA,NA,NA,NA,NA
219,PLAYER_755,12/17/2023,605.523961,3760.535396,NA,NA,NA,NA,NA,NA
220,PLAYER_755,12/20/2023,404.556041,2987.385591,NA,NA,NA,NA,NA,NA
221,PLAYER_755,12/21/2023,717.880299,4956.031926,NA,NA,NA,NA,NA,NA
