,team,metric,playername,data_source,player_mean_value,team_avg_value,percent_difference_from_team_mean,timestamp
117,Mens Soccer,leftTorque,PLAYER_097,vald,124.64,170.5,-26.897360703812318,2023-08-08 16:11:09
118,Mens Soccer,leftTorque,PLAYER_1077,vald,131.76,170.5,-22.721407624633436,2024-02-06 20:21:59
119,Mens Soccer,leftTorque,PLAYER_1225,vald,140.14,170.5,-17.806451612903235,2023-02-15 21:33:07
120,Mens Soccer,rightMaxForce,PLAYER_097,vald,287.5,395.76,-27.35496260359814,2023-08-08 16:11:09
121,Mens Soccer,rightMaxForce,PLAYER_062,vald,303.23,395.76,-23.380331514048912,2023-08-08 15:42:23
122,Mens Soccer,rightMaxForce,PLAYER_902,vald,307.47,395.76,-22.30897513644632,2023-04-24 20:27:44
123,Mens Soccer,rightMaxForce,PLAYER_1225,vald,328.83,395.76,-16.911764705882355,2022-08-10 14:43:53
124,Mens Soccer,rightMaxForce,PLAYER_845,vald,330.18,395.76,-16.570648878107942,2024-10-30 17:56:45
125,Mens Soccer,rightTorque,PLAYER_062,vald,124.17,170.32,-27.09605448567402,2024-02-06 20:35:50
126,Mens Soccer,rightTorque,PLAYER_097,vald,125.64,170.32,-26.232973226867067,2023-08-21 15:57:06
127,Mens Soccer,rightTorque,PLAYER_902,vald,125.91,170.32,-26.07444809769845,2023-08-21 16:07:19
128,Mens Soccer,rightTorque,PLAYER_845,vald,126.38,170.32,-25.79849694692344,2024-10-30 17:56:45
129,Mens Soccer,rightTorque,PLAYER_1077,vald,128.02,170.32,-24.835603569751047,2022-08-10 14:44:57
130,Softball,leftMaxForce,PLAYER_904,vald,247.43,338.24,-26.847800378429515,2022-08-26 21:25:48
131,Softball,leftMaxForce,PLAYER_391,vald,257.42,338.24,-23.894276253547776,2022-08-26 21:15:06
132,Softball,leftMaxForce,PLAYER_388,vald,264.5,338.24,-21.80108798486282,2025-08-29 18:38:09
133,Softball,leftMaxForce,PLAYER_665,vald,270.88,338.24,-19.91485335856197,2024-08-30 19:34:12
134,Softball,leftMaxForce,PLAYER_387,vald,289.8,338.24,-14.32119205298013,2022-08-26 21:13:34
135,Softball,leftTorque,PLAYER_391,vald,107.73,150.85,-28.584686774941993,2022-08-26 21:15:06
136,Softball,leftTorque,PLAYER_904,vald,114.68,150.85,-23.97746105402717,2024-08-30 19:30:52
137,Softball,leftTorque,PLAYER_388,vald,115.45,150.85,-23.467020218760354,2025-08-29 18:38:09
138,Softball,leftTorque,PLAYER_790,vald,122.83,150.85,-18.574743122306923,2025-08-29 18:42:44
139,Softball,leftTorque,PLAYER_1134,vald,123.92,150.85,-17.85217103082532,2022-09-14 21:38:13
140,Softball,rightMaxForce,PLAYER_904,vald,215.3,328.43,-34.44569619096916,2024-10-28 19:09:21
141,Softball,rightMaxForce,PLAYER_665,vald,233.5,328.43,-28.904180495082667,2024-08-30 19:34:12
142,Softball,rightMaxForce,PLAYER_387,vald,246.63,328.43,-24.906372743050273,2024-10-28 19:08:01
143,Softball,rightMaxForce,PLAYER_678,vald,274.0,328.43,-16.572785677313277,2025-08-29 18:41:33
144,Softball,rightMaxForce,PLAYER_388,vald,280.75,328.43,-14.517553207685049,2025-08-29 18:38:09
145,Softball,rightTorque,PLAYER_904,vald,99.79,146.33,-31.804824711269053,2023-01-16 21:29:38
146,Softball,rightTorque,PLAYER_665,vald,110.33,146.33,-24.601927150960165,2024-10-28 19:18:47
147,Softball,rightTorque,PLAYER_387,vald,112.09,146.33,-23.39916626802433,2023-01-16 21:32:57
148,Softball,rightTorque,PLAYER_678,vald,114.67,146.33,-21.636028155538856,2025-08-29 18:41:33
149,Softball,rightTorque,PLAYER_388,vald,122.55,146.33,-16.250939656939803,2025-08-29 18:38:09
150,Staff,leftMaxForce,PLAYER_602,vald,372.25,372.25,0.0,2024-06-04 13:19:48
151,Staff,leftTorque,PLAYER_602,vald,145.74,145.74,0.0,2024-06-04 13:19:48
152,Staff,rightMaxForce,PLAYER_602,vald,341.88,341.88,0.0,2024-06-04 13:19:48
153,Staff,rightTorque,PLAYER_602,vald,133.84,133.84,0.0,2024-06-04 13:19:48
154,Swim/Dive,leftMaxForce,PLAYER_254,vald,146.5,226.76,-35.39424942670665,2022-08-31 19:15:57
155,Swim/Dive,leftMaxForce,PLAYER_028,vald,148.0,226.76,-34.732757100017636,2022-08-31 12:21:20
156,Swim/Dive,leftMaxForce,PLAYER_765,vald,152.25,226.76,-32.85852884106544,2022-08-29 12:23:11
157,Swim/Dive,leftMaxForce,PLAYER_167,vald,170.25,226.76,-24.920620920797315,2022-08-31 12:32:01
158,Swim/Dive,leftMaxForce,PLAYER_1099,vald,181.0,226.76,-20.17992591285941,2022-08-29 12:23:58
159,Swim/Dive,leftTorque,PLAYER_028,vald,63.27,92.38,-31.511149599480397,2022-08-31 12:21:20
160,Swim/Dive,leftTorque,PLAYER_765,vald,63.72,92.38,-31.024031175579125,2022-08-29 12:23:11
161,Swim/Dive,leftTorque,PLAYER_254,vald,67.9,92.38,-26.499242260229476,2022-08-31 19:15:57
162,Swim/Dive,leftTorque,PLAYER_1244,vald,70.12,92.38,-24.09612470231651,2022-08-31 12:45:38
163,Swim/Dive,leftTorque,PLAYER_167,vald,71.25,92.38,-22.872916215631083,2022-08-31 12:32:01
164,Swim/Dive,rightMaxForce,PLAYER_765,vald,139.75,222.85,-37.289656719766654,2022-08-29 12:23:11
165,Swim/Dive,rightMaxForce,PLAYER_028,vald,154.0,222.85,-30.895221000673097,2022-08-31 12:21:20
166,Swim/Dive,rightMaxForce,PLAYER_1244,vald,166.0,222.85,-25.51043302669957,2022-08-31 12:45:38
167,Swim/Dive,rightMaxForce,PLAYER_1099,vald,167.75,222.85,-24.725151447161767,2022-08-29 12:23:58
168,Swim/Dive,rightMaxForce,PLAYER_167,vald,178.0,222.85,-20.125645052726046,2022-08-31 12:32:01
169,Swim/Dive,rightTorque,PLAYER_765,vald,58.49,91.02,-35.73939793451988,2022-08-29 12:23:11
170,Swim/Dive,rightTorque,PLAYER_1244,vald,62.0,91.02,-31.88310261480993,2022-08-31 12:45:38
171,Swim/Dive,rightTorque,PLAYER_028,vald,65.84,91.02,-27.66424961546912,2022-08-31 12:21:20
172,Swim/Dive,rightTorque,PLAYER_1099,vald,73.22,91.02,-19.556141507361016,2022-08-29 12:23:58
173,Swim/Dive,rightTorque,PLAYER_1024,vald,73.81,91.02,-18.907932322566463,2022-08-29 12:29:48
174,Tennis,leftMaxForce,PLAYER_082,vald,218.63,276.16,-20.83212630359213,2022-04-12 16:20:20
175,Tennis,leftMaxForce,PLAYER_1097,vald,229.85,276.16,-16.769264194669766,2022-04-12 16:12:19
