playername,team,flag_reason,metric_value,last_test_date,test_date
PLAYER_1196,Mens Soccer,High Torque Asymmetry,-12.99864314789688,2023-08-21,
PLAYER_1196,Mens Soccer,High Max Force Asymmetry,-15.676728334956184,2024-10-30,
PLAYER_1196,Mens Soccer,High Torque Asymmetry,-15.676728334956184,2024-10-30,
PLAYER_1196,Mens Soccer,Not Tested in > 30 days,,,2024-10-30
PLAYER_1232,Football,Not Tested in > 30 days,,,2025-01-22
PLAYER_137,Mens Soccer,Not Tested in > 30 days,,,2024-10-30
PLAYER_154,Football,High Max Force Asymmetry,25.186500888099467,2023-07-13,
PLAYER_154,Football,High Torque Asymmetry,25.186500888099467,2023-07-13,
PLAYER_154,Football,High Max Force Asymmetry,14.250814332247558,2023-07-13,
PLAYER_154,Football,High Torque Asymmetry,14.250814332247556,2023-07-13,
PLAYER_154,Football,High Max Force Asymmetry,15.856236786469344,2023-07-13,
PLAYER_154,Football,High Torque Asymmetry,15.85623678646934,2023-07-13,
PLAYER_154,Football,High Max Force Asymmetry,10.37344398340249,2023-08-04,
PLAYER_154,Football,High Torque Asymmetry,10.373443983402488,2023-08-04,
PLAYER_154,Football,High Max Force Asymmetry,10.686787804126888,2023-08-20,
PLAYER_154,Football,High Torque Asymmetry,10.686787804126883,2023-08-20,
PLAYER_154,Football,High Max Force Asymmetry,16.553933784264864,2023-09-02,
PLAYER_154,Football,High Torque Asymmetry,16.553933784264867,2023-09-02,
PLAYER_154,Football,Not Tested in > 30 days,,,2023-09-02
PLAYER_158,Mens Soccer,Not Tested in > 30 days,,,2025-08-01
PLAYER_182,Mens Soccer,Not Tested in > 30 days,,,2025-08-01
PLAYER_190,Womens Basketball,High Max Force Asymmetry,11.582381729200652,2025-09-02,
PLAYER_190,Womens Basketball,High Torque Asymmetry,11.582381729200652,2025-09-02,
PLAYER_193,Mens Soccer,Not Tested in > 30 days,,,2025-08-01
PLAYER_218,Womens Soccer,High Max Force Asymmetry,20.687910976226608,2023-07-19,
PLAYER_218,Womens Soccer,High Torque Asymmetry,20.6879109762266,2023-07-19,
PLAYER_218,Womens Soccer,High Max Force Asymmetry,11.428571428571429,2023-08-15,
PLAYER_218,Womens Soccer,High Torque Asymmetry,11.428571428571429,2023-08-15,
PLAYER_218,Womens Soccer,Not Tested in > 30 days,,,2023-08-15
PLAYER_230,Football,High Max Force Asymmetry,10.887417218543046,2023-08-20,
